pygame-ce 2.4.1 (SDL 2.28.5, Python 3.10.12)
         20409299 function calls (20402393 primitive calls) in 10.344 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    189/1    0.001    0.000   10.345   10.345 {built-in method builtins.exec}
        1    0.148    0.148   10.345   10.345 pygame_demo.py:1(<module>)
       20    0.997    0.050    9.138    0.457 Main.py:219(new_frame)
   759120    1.459    0.000    4.048    0.000 Main.py:138(scale_point)
   253040    0.796    0.000    4.027    0.000 Main.py:100(render_wall_from_normalised_points)
  2296830    1.798    0.000    2.493    0.000 Main.py:132(rotate_point)
   625848    1.404    0.000    1.962    0.000 Main.py:18(dim_colour)
   312925    0.947    0.000    0.947    0.000 Main.py:28(average_colour)
       24    0.001    0.000    0.647    0.027 __init__.py:1(<module>)
  4593700    0.354    0.000    0.354    0.000 {built-in method math.cos}
  4593700    0.342    0.000    0.342    0.000 {built-in method math.sin}
  1880290    0.325    0.000    0.325    0.000 {built-in method builtins.min}
        3    0.177    0.059    0.291    0.097 Main.py:285(__init__)
   253040    0.279    0.000    0.279    0.000 Main.py:89(get_normal_from_triangle)
    265/4    0.001    0.000    0.276    0.069 <frozen importlib._bootstrap>:1022(_find_and_load)
    265/4    0.001    0.000    0.276    0.069 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    252/4    0.001    0.000    0.275    0.069 <frozen importlib._bootstrap>:664(_load_unlocked)
    182/4    0.000    0.000    0.275    0.069 <frozen importlib._bootstrap_external>:877(exec_module)
    386/5    0.000    0.000    0.274    0.055 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
  1878124    0.234    0.000    0.234    0.000 {built-in method builtins.max}
        1    0.228    0.228    0.228    0.228 {built-in method pygame.display.set_mode}
        1    0.000    0.000    0.151    0.151 pkgdata.py:1(<module>)
   394/20    0.001    0.000    0.138    0.007 {built-in method builtins.__import__}
   104308    0.127    0.000    0.127    0.000 {built-in method pygame.draw.polygon}
  1518240    0.118    0.000    0.118    0.000 {built-in method math.tan}
        1    0.000    0.000    0.090    0.090 surfarray.py:1(<module>)
   269/57    0.001    0.000    0.090    0.002 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        2    0.000    0.000    0.083    0.041 __init__.py:3240(_call_aside)
        1    0.000    0.000    0.083    0.083 __init__.py:3266(_initialize_master_working_set)
       16    0.000    0.000    0.078    0.005 __init__.py:601(add_entry)
      356    0.001    0.000    0.076    0.000 __init__.py:2046(find_on_path)
    97487    0.075    0.000    0.075    0.000 {built-in method builtins.locals}
        1    0.065    0.065    0.065    0.065 {built-in method pygame.base.init}
       19    0.062    0.003    0.062    0.003 {built-in method pygame.display.flip}
   104337    0.045    0.000    0.059    0.000 {method 'sort' of 'list' objects}
  252/235    0.000    0.000    0.049    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      684    0.001    0.000    0.041    0.000 __init__.py:2132(distributions_from_metadata)
        1    0.000    0.000    0.040    0.040 __init__.py:559(_build_master)
        1    0.000    0.000    0.040    0.040 __init__.py:546(__init__)
      559    0.001    0.000    0.040    0.000 re.py:288(_compile)
        1    0.000    0.000    0.039    0.039 __config__.py:1(<module>)
       90    0.000    0.000    0.039    0.000 re.py:249(compile)
       90    0.000    0.000    0.038    0.000 sre_compile.py:783(compile)
339345/338364    0.032    0.000    0.032    0.000 {built-in method builtins.len}
      182    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:950(get_code)
  515/510    0.006    0.000    0.031    0.000 {built-in method builtins.__build_class__}
      342    0.001    0.000    0.031    0.000 __init__.py:2591(from_location)
       16    0.001    0.000    0.030    0.002 {built-in method builtins.sorted}
       14    0.000    0.000    0.030    0.002 __init__.py:2011(_by_version_descending)
        1    0.000    0.000    0.029    0.029 requirements.py:1(<module>)
   340178    0.027    0.000    0.027    0.000 {method 'append' of 'list' objects}
    48/44    0.000    0.000    0.026    0.001 <frozen importlib._bootstrap_external>:1174(create_module)
    48/44    0.021    0.000    0.026    0.001 {built-in method _imp.create_dynamic}
       90    0.000    0.000    0.025    0.000 sre_parse.py:944(parse)
   344/90    0.001    0.000    0.025    0.000 sre_parse.py:436(_parse_sub)
   497/94    0.009    0.000    0.024    0.000 sre_parse.py:494(_parse)
     2920    0.011    0.000    0.024    0.000 version.py:261(__init__)
      342    0.000    0.000    0.020    0.000 __init__.py:2035(_by_version)
      262    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        1    0.000    0.000    0.019    0.019 index_tricks.py:1(<module>)
      172    0.000    0.000    0.019    0.000 __init__.py:2992(_reload_version)
      342    0.000    0.000    0.019    0.000 __init__.py:2041(<listcomp>)
      172    0.000    0.000    0.018    0.000 __init__.py:2783(_get_version)
     1374    0.001    0.000    0.018    0.000 __init__.py:2026(try_parse)
      172    0.000    0.000    0.018    0.000 __init__.py:2561(_version_from_file)
        3    0.000    0.000    0.018    0.006 __init__.py:51(create_module)
        3    0.000    0.000    0.018    0.006 __init__.py:29(load_module)
        1    0.000    0.000    0.016    0.016 defmatrix.py:1(<module>)
        1    0.000    0.000    0.016    0.016 pyparsing.py:1(<module>)
      832    0.001    0.000    0.016    0.000 __init__.py:2778(_get_metadata)
      243    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      243    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
        1    0.000    0.000    0.015    0.015 linalg.py:1(<module>)
      181    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      181    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
   104308    0.014    0.000    0.014    0.000 Main.py:238(<lambda>)
      190    0.000    0.000    0.014    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.013    0.013 specifiers.py:1(<module>)
      417    0.003    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
       26    0.000    0.000    0.012    0.000 pyparsing.py:2779(__init__)
  354/280    0.000    0.000    0.012    0.000 typing.py:306(inner)
       90    0.000    0.000    0.012    0.000 sre_compile.py:622(_code)
      514    0.001    0.000    0.011    0.000 __init__.py:1317(safe_version)
     1955    0.010    0.000    0.010    0.000 {built-in method posix.stat}
   861/90    0.004    0.000    0.010    0.000 sre_compile.py:87(_compile)
        1    0.000    0.000    0.010    0.010 multiarray.py:1(<module>)
        3    0.000    0.000    0.010    0.003 utils.py:1(<module>)
        1    0.000    0.000    0.009    0.009 overrides.py:1(<module>)
      342    0.000    0.000    0.009    0.000 __init__.py:2578(__init__)
        1    0.000    0.000    0.009    0.009 parser.py:1(<module>)
        1    0.000    0.000    0.009    0.009 feedparser.py:1(<module>)
        1    0.000    0.000    0.009    0.009 numerictypes.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _pickle.py:1(<module>)
       20    0.008    0.000    0.008    0.000 {method 'fill' of 'pygame.surface.Surface' objects}
        1    0.000    0.000    0.008    0.008 _type_aliases.py:1(<module>)
      139    0.000    0.000    0.007    0.000 __init__.py:1421(get_metadata_lines)
      183    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        1    0.000    0.000    0.007    0.007 _policybase.py:1(<module>)
        1    0.000    0.000    0.007    0.007 specifiers.py:317(Specifier)
      317    0.001    0.000    0.007    0.000 overrides.py:142(decorator)
      342    0.007    0.000    0.007    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.007    0.007 pyparsing.py:5399(pyparsing_common)
    48/43    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
    11870    0.003    0.000    0.007    0.000 sre_parse.py:255(get)
    35846    0.007    0.000    0.007    0.000 {method 'split' of 'str' objects}
    48/43    0.003    0.000    0.007    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.007    0.007 platform.py:1(<module>)
      356    0.001    0.000    0.007    0.000 __init__.py:2066(<genexpr>)
        1    0.000    0.000    0.006    0.006 py3k.py:1(<module>)
